estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed,sample_size
3.651537265352949,0.18477709743213303,3.28938080921812,4.013693721487778,1,1.0080987599385332,lasso,0.0,linear,38,0.12383008003234863,985
3.80425587277124,0.09103484884782359,3.625830847691458,3.982680897851022,0,1.0137979184423584,xgboost,0.0,linear,38,0.46694087982177734,985
3.822867921517964,0.12094230813406777,3.5858253533680453,4.059910489667883,1,1.0087919367996387,rf,0.0,linear,38,1.1928339004516602,985
3.9446963013513727,0.07550094058218879,3.7967171770113843,4.092675425691361,1,1.0028990008516465,lasso,0.0,linear,39,0.13380789756774902,985
3.8463340087483657,0.13717264557798126,3.5774805637514446,4.115187453745286,1,1.0400358056501742,xgboost,0.0,linear,39,0.42475199699401855,985
3.89454965036218,0.19044048834066551,3.521293152016255,4.267806148708106,1,1.0203885718287378,rf,0.0,linear,39,1.7560741901397705,985
4.07551080614697,0.10450213355765062,3.87069038806638,4.28033122422756,1,1.0042437224852743,lasso,0.0,linear,40,0.18440699577331543,985
4.115573917463775,0.07955731914917642,3.95964443722483,4.271503397702719,1,1.0343684990901025,xgboost,0.0,linear,40,0.601438045501709,985
4.202462461564323,0.08913211144193021,4.02776673327213,4.377158189856517,0,1.00818046771221,rf,0.0,linear,40,1.263702154159546,985
4.250004318108048,0.15445950006637718,3.9472692609078868,4.552739375308209,1,1.001987632987391,lasso,0.0,linear,41,0.1198430061340332,985
3.912784461103209,0.10002414572806673,3.7167407378918123,4.108828184314606,1,1.0478711252991069,xgboost,0.0,linear,41,0.3982210159301758,985
4.103307378773517,0.12522939084108642,3.8578622829190965,4.348752474627936,1,1.0103727952425756,rf,0.0,linear,41,1.118096113204956,985
4.162706916216772,0.07129130588960331,4.022978524262321,4.302435308171223,0,1.0063869958844642,lasso,0.0,linear,42,0.12659907341003418,985
4.052954383947071,0.10320997849497306,3.850666543251771,4.255242224642371,1,1.0494753002178525,xgboost,0.0,linear,42,0.3874809741973877,985
4.178779300906222,0.1422165152691072,3.9000400529719816,4.457518548840462,1,1.0102139109545083,rf,0.0,linear,42,1.4991130828857422,985
4.25909693089708,0.18270536226678213,3.9010010010718434,4.617192860722316,1,1.003785756954472,lasso,0.0,linear,43,0.1854698657989502,985
4.028284079026829,0.11202712706567457,3.8087149446866144,4.247853213367043,1,1.0469305377036575,xgboost,0.0,linear,43,0.424191951751709,985
4.232227280353612,0.15239214498055642,3.9335441646649154,4.53091039604231,1,1.0221441458021647,rf,0.0,linear,43,1.181851863861084,985
4.149080795168249,0.11988722292778704,3.9141061560232617,4.384055434313236,1,0.9994921550074185,lasso,0.0,linear,44,0.11801600456237793,985
4.000537575976782,0.07519321801784724,3.8531615767801335,4.1479135751734315,1,1.0297049082756151,xgboost,0.0,linear,44,0.3898618221282959,985
4.079894779226973,0.08823876399736345,3.906949979751811,4.252839578702136,1,1.0031042134306558,rf,0.0,linear,44,1.1710591316223145,985
3.917754451637148,0.078309042559632,3.7642715485564553,4.071237354717841,1,1.0090894730424191,lasso,0.0,linear,45,0.11961984634399414,985
3.881681807861731,0.08136781208260388,3.7222038266790043,4.041159789044458,1,1.0460249956020162,xgboost,0.0,linear,45,0.3974618911743164,985
