rep,seed,learner,r_d,r_d_oracle,inflation,coverage,estimate,se
42,1042,lasso,0.6509913958333319,0.11466238335260946,0.5363290124807224,1,3.5729147090601288,0.27887439942336256
42,1042,lasso_logistic,0.17254813193997168,0.11466238335260946,0.057885748587362215,0,5.636986500290103,0.5745893783458353
43,1043,xgboost,0.1731572202128975,0.14727812957104572,0.025879090641851787,1,4.2768137289619,0.6752598114096895
43,1043,lasso,0.6471008730806312,0.14727812957104572,0.49982274350958555,0,1.3266462679415847,0.432042543828981
43,1043,lasso_logistic,0.19853436767223445,0.14727812957104572,0.051256238101188734,1,5.099799538068134,0.7207488091707319
44,1044,xgboost,0.1799641516864187,0.16480841825254586,0.015155733433872831,0,1.1266615911109572,1.3455834309392072
44,1044,lasso,0.6752995015277296,0.16480841825254586,0.5104910832751837,0,2.0541027269920717,0.43913838593916854
44,1044,lasso_logistic,0.20728744328158621,0.16480841825254586,0.04247902502904036,1,2.4523276719287916,0.9784688366348715
45,1045,xgboost,0.13002833052554372,0.11762718518257927,0.01240114534296445,0,1.549041101403679,0.9908791494498294
45,1045,lasso,0.6491656437237924,0.11762718518257927,0.5315384585412131,1,3.4080503621480136,0.3720187133509285
45,1045,lasso_logistic,0.17474531093771808,0.11762718518257927,0.05711812575513882,1,3.6093260742349424,0.7951176453831459
46,1046,xgboost,0.14121859847966703,0.13673197511789595,0.0044866233617710805,0,1.4992271146205336,1.085444932442158
46,1046,lasso,0.6684564253726546,0.13673197511789595,0.5317244502547587,0,6.549623834108743,0.6123083426381912
46,1046,lasso_logistic,0.1735224178266048,0.13673197511789595,0.03679044270870885,0,1.3669291166187496,1.1637146557110984
47,1047,xgboost,0.14847720673589032,0.1401863470035098,0.008290859732380529,1,4.3152035516584615,0.25330443386174856
47,1047,lasso,0.6636491983360032,0.1401863470035098,0.5234628513324935,0,4.469277091040387,0.16033839211435869
47,1047,lasso_logistic,0.18201779266985957,0.1401863470035098,0.041831445666349776,0,5.7307280203386,0.36962199772642623
48,1048,xgboost,0.1436487189062814,0.13323530367228426,0.010413415233997136,1,4.555385966333442,0.2960203731307005
48,1048,lasso,0.6570053276445307,0.13323530367228426,0.5237700239722465,1,4.1667391571586245,0.12716100539371938
48,1048,lasso_logistic,0.18995613447812143,0.13323530367228426,0.056720830805837175,0,5.201103782761483,0.28570409905852806
49,1049,xgboost,0.13162423229512504,0.12757192245229337,0.0040523098428316695,1,3.782892042589643,0.22376467196544247
49,1049,lasso,0.662435189287794,0.12757192245229337,0.5348632668355007,1,3.919950922645891,0.09551721982228562
49,1049,lasso_logistic,0.1809998693296209,0.12757192245229337,0.05342794687732752,0,4.833763476788726,0.27939689602445306
50,1050,xgboost,0.1015583414361819,0.10597245683804513,-0.0044141154018632195,0,4.644707611367213,0.29585498238292846
50,1050,lasso,0.6597138085828632,0.10597245683804513,0.5537413517448181,0,3.2562596175846004,0.2317045635383268
50,1050,lasso_logistic,0.1565861018703103,0.10597245683804513,0.050613645032265175,0,5.269046155134979,0.49717129113109826
51,1051,xgboost,0.14418868373799243,0.13774954366273534,0.006439140075257088,1,3.942865359424594,0.5688364080621605
51,1051,lasso,0.6631252995632652,0.13774954366273534,0.5253757559005299,0,5.745282429151867,0.2675491138476556
51,1051,lasso_logistic,0.18109150841687346,0.13774954366273534,0.043341964754138124,0,5.234713282945694,0.5364014420962318
52,1052,xgboost,0.17570944418803564,0.16017086809950673,0.015538576088528905,1,5.50316465706156,1.4488868608647545
52,1052,lasso,0.6621505182679712,0.16017086809950673,0.5019796501684645,1,3.949947128613142,0.7297843736045115
52,1052,lasso_logistic,0.20896805758405534,0.16017086809950673,0.048797189484548614,0,6.474257344360916,1.2141221724706892
53,1053,xgboost,0.18161876107993585,0.17010825701448992,0.011510504065445931,1,2.697274644513092,0.6996276417270354
53,1053,lasso,0.6658245395496445,0.17010825701448992,0.49571628253515454,0,6.3577281085650394,0.4108785312215992
53,1053,lasso_logistic,0.21996448098160498,0.17010825701448992,0.04985622396711506,1,4.069673242502497,0.7982621293259246
54,1054,xgboost,0.15526705190672838,0.14719635993255015,0.008070691974178229,1,4.022011146732787,0.6234991959969051
54,1054,lasso,0.6686674980677284,0.14719635993255015,0.5214711381351782,1,3.7901725733819838,0.2141845279707769
54,1054,lasso_logistic,0.20074573352251357,0.14719635993255015,0.05354937358996342,1,5.04028699204333,0.5630585200414514
55,1055,xgboost,0.1324043694523174,0.12454219840737239,0.007862171044945007,1,3.3186768076758555,0.427691633939627
55,1055,lasso,0.6641875403350456,0.12454219840737239,0.5396453419276732,0,3.2192318601437035,0.1719742002417041
55,1055,lasso_logistic,0.17774509643709568,0.12454219840737239,0.05320289802972329,1,4.105065946642694,0.3545025904604878
56,1056,xgboost,0.16941445537434893,0.1582755553795192,0.011138899994829726,1,5.039587967892497,0.6302654816443751
56,1056,lasso,0.6607910540746553,0.1582755553795192,0.5025154986951361,0,2.9195253082134163,0.4760483685626055
56,1056,lasso_logistic,0.23707863751704825,0.1582755553795192,0.07880308213752904,1,5.230412310474154,0.7915379846508472
57,1057,xgboost,0.12145380543672232,0.11789627663335861,0.003557528803363713,1,4.016747854018509,0.266739786198705
57,1057,lasso,0.662685939908873,0.11789627663335861,0.5447896632755145,0,3.1135330602815223,0.10444315278785005
57,1057,lasso_logistic,0.17941580418058375,0.11789627663335861,0.061519527547225145,0,4.632686924466064,0.22263500848168796
58,1058,xgboost,0.1312273441094587,0.12191388474096343,0.009313459368495258,0,4.889745681684421,0.3635134439938253
58,1058,lasso,0.6631904378205986,0.12191388474096343,0.5412765530796352,1,3.694334721294102,0.23203658227706497
58,1058,lasso_logistic,0.1883966110383403,0.12191388474096343,0.06648272629737687,0,5.4183722129506675,0.42715550071836444
59,1059,xgboost,0.17115213339015997,0.16649690499090072,0.004655228399259248,1,3.6922688187504593,0.19339262677269606
59,1059,lasso,0.6736186697876168,0.16649690499090072,0.507121764796716,0,3.7358303218928137,0.08948260693919315
59,1059,lasso_logistic,0.22444069159782537,0.16649690499090072,0.05794378660692465,0,4.560104515976928,0.20940283217695685
60,1060,xgboost,0.12410960131057917,0.11209038590227106,0.01201921540830811,0,1.2218405888563504,1.398022114381723
60,1060,lasso,0.6532415825591807,0.11209038590227106,0.5411511966569097,0,5.720956956661754,0.5641265464860885
60,1060,lasso_logistic,0.18048004236673776,0.11209038590227106,0.0683896564644667,1,3.1247691737397445,1.2016416730058168
61,1061,xgboost,0.13584705264226302,0.12495439542186405,0.010892657220398963,1,3.7859633166067144,0.22272388485416292
61,1061,lasso,0.6511510129534402,0.12495439542186405,0.5261966175315762,1,3.8723334264370677,0.10662371234279679
61,1061,lasso_logistic,0.1961189821268031,0.12495439542186405,0.07116458670493904,0,4.531852274015964,0.24466394999271654
62,1062,xgboost,0.151293446711731,0.13381851462235408,0.01747493208937692,1,3.97599452434679,0.19079272025828062
62,1062,lasso,0.6455325009006992,0.13381851462235408,0.5117139862783452,1,3.9547138966435145,0.09242323905352956
62,1062,lasso_logistic,0.18898650273533293,0.13381851462235408,0.05516798811297885,0,4.717720599030719,0.23061737794017131
63,1063,xgboost,0.1463167640768781,0.12472023230884241,0.021596531768035693,1,4.046347394848535,0.1985269380381143
63,1063,lasso,0.6525870746259333,0.12472023230884241,0.5278668423170909,1,3.9973816413288525,0.09326544877788331
63,1063,lasso_logistic,0.19428071131249292,0.12472023230884241,0.0695604790036505,0,4.812952799880592,0.2560764789821885
64,1064,xgboost,0.15043573569856475,0.13280339594246776,0.017632339756096987,1,1.5459972253876082,1.4241992813897781
64,1064,lasso,0.6543398394967381,0.13280339594246776,0.5215364435542704,1,3.628135748583706,0.5674823110995689
64,1064,lasso_logistic,0.18757475711695468,0.13280339594246776,0.054771361174486916,1,3.9016596971580504,1.289772723104291
65,1065,xgboost,0.16899191762793594,0.1530548834841298,0.01593703414380615,1,4.867665985178864,0.5814134327796011
65,1065,lasso,0.6567403656812821,0.1530548834841298,0.5036854821971524,0,3.276913257396062,0.33423231715126317
65,1065,lasso_logistic,0.21030079921916767,0.1530548834841298,0.05724591573503787,0,5.6388695955981785,0.6375240998758742
66,1066,xgboost,0.1720675323552926,0.15829119869459904,0.013776333660693557,1,3.9145189765596244,1.476818248052147
66,1066,lasso,0.6711440080705753,0.15829119869459904,0.5128528093759762,1,5.171316400299048,0.7667212373218916
66,1066,lasso_logistic,0.21783832757631327,0.15829119869459904,0.059547128881714234,0,7.669627312498835,1.401392083615895
67,1067,xgboost,0.1523321765398248,0.1384321720889677,0.013900004450857123,1,3.9817057849435074,0.19705152162532255
67,1067,lasso,0.6569527719411413,0.1384321720889677,0.5185205998521736,1,4.159967690419021,0.08716089411089821
67,1067,lasso_logistic,0.18758025460417732,0.1384321720889677,0.049148082515209635,0,4.876471293667111,0.2778634020799482
68,1068,xgboost,0.13961499620081613,0.13277942259959066,0.00683557360122547,1,3.845935901784725,0.18515234534109812
68,1068,lasso,0.6598577127126777,0.13277942259959066,0.527078290113087,0,2.5997016003240416,0.10584035941038095
68,1068,lasso_logistic,0.20070217846816865,0.13277942259959066,0.06792275586857799,1,4.240292289941282,0.22578764042065524
69,1069,xgboost,0.14393240086685685,0.14032362263445475,0.0036087782324021045,1,2.6196327991312374,0.9563984718158243
69,1069,lasso,0.6572631074960158,0.14032362263445475,0.516939484861561,0,5.501258654558681,0.4202808554417921
69,1069,lasso_logistic,0.19097892918836043,0.14032362263445475,0.05065530655390568,1,4.493286317091961,0.8677057031138552
